username,password,gross_monthly_income,total_monthly_debt_payments,total_credit_limit,credit_history_length_months,new_credit_inquiries_last_6m,late_payment_count,transaction_id,transaction_date,transaction_amount,transaction_category,score_of_last_month,score_of_2_months_ago,score_of_3_months_ago,score_of_4_months_ago,score_of_5_months_ago,score_of_6_months_ago,score_of_7_months_ago,score_of_8_months_ago
liam_p,password,5500,1800,12000,48,2,1,2004,2025-07-20T10:00:00Z,-95.50,Groceries,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2005,2025-07-21T08:00:00Z,-45.00,Transport,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2006,2025-07-24T17:00:00Z,-120.00,Utilities,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2007,2025-07-26T21:00:00Z,-65.00,Entertainment,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2008,2025-07-28T11:00:00Z,-150.00,Shopping,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2009,2025-07-30T09:00:00Z,2750.00,Income,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2010,2025-08-01T09:00:00Z,-400.00,Student Loan,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2011,2025-08-03T13:00:00Z,-85.20,Groceries,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2012,2025-08-05T08:15:00Z,-45.00,Transport,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2013,2025-08-08T19:00:00Z,-72.50,Dining,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2014,2025-08-12T18:00:00Z,-200.00,Credit Card Payment,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2015,2025-08-15T09:00:00Z,2750.00,Income,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2016,2025-08-16T12:00:00Z,-1200.00,Rent,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2017,2025-08-20T10:30:00Z,-110.00,Groceries,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2018,2025-08-24T17:00:00Z,-115.70,Utilities,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2019,2025-08-28T20:00:00Z,-50.00,Entertainment,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2020,2025-08-30T09:00:00Z,2750.00,Income,710,715,720,718,725,722,730,728
ava_s,password,3800,2500,7000,30,4,5,3001,2025-07-15T09:30:00Z,1900.00,Income,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3002,2025-07-15T10:00:00Z,-950.00,Rent,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3003,2025-07-16T11:00:00Z,-350.00,Car Loan,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3004,2025-07-18T12:00:00Z,-120.00,Credit Card Payment,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3005,2025-07-20T14:00:00Z,-85.60,Groceries,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3006,2025-07-21T08:30:00Z,-60.00,Transport,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3007,2025-07-23T19:00:00Z,-45.00,Dining,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3008,2025-07-25T17:00:00Z,-95.00,Utilities,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3009,2025-07-28T16:00:00Z,-200.00,Personal Loan,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3010,2025-07-30T09:30:00Z,1900.00,Income,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3011,2025-08-02T15:00:00Z,-75.80,Shopping,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3012,2025-08-05T13:00:00Z,-92.30,Groceries,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3013,2025-08-08T08:00:00Z,-60.00,Transport,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3014,2025-08-12T18:00:00Z,-120.00,Credit Card Payment,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3015,2025-08-15T09:30:00Z,1900.00,Income,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3016,2025-08-15T10:00:00Z,-950.00,Rent,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3017,2025-08-16T11:00:00Z,-350.00,Car Loan,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3018,2025-08-20T20:00:00Z,-35.00,Entertainment,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3019,2025-08-25T17:00:00Z,-98.00,Utilities,590,595,605,610,612,620,625,630
ava_s,password,3800,2500,7000,30,4,5,3020,2025-08-30T09:30:00Z,1900.00,Income,590,595,605,610,612,620,625,630
noah_j,password,1500,200,1500,18,1,0,4001,2025-07-10T10:00:00Z,750.00,Income,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4002,2025-07-12T12:00:00Z,-50.00,Credit Card Payment,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4003,2025-07-15T18:00:00Z,-45.50,Dining,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4004,2025-07-18T11:00:00Z,-70.20,Groceries,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4005,2025-07-20T08:00:00Z,-30.00,Transport,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4006,2025-07-22T14:00:00Z,-80.00,Books,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4007,2025-07-25T10:00:00Z,750.00,Income,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4008,2025-07-26T20:00:00Z,-40.00,Entertainment,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4009,2025-07-29T16:00:00Z,-65.00,Shopping,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4010,2025-08-01T17:00:00Z,-55.00,Utilities,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4011,2025-08-04T13:00:00Z,-60.80,Groceries,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4012,2025-08-07T08:30:00Z,-30.00,Transport,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4013,2025-08-10T10:00:00Z,750.00,Income,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4014,2025-08-12T12:00:00Z,-50.00,Credit Card Payment,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4015,2025-08-16T19:00:00Z,-38.00,Dining,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4016,2025-08-20T15:00:00Z,-90.00,Books,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4017,2025-08-23T21:00:00Z,-50.00,Entertainment,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4018,2025-08-25T10:00:00Z,750.00,Income,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4019,2025-08-28T11:00:00Z,-75.00,Groceries,655,650,645,640,642,638,635,630
noah_j,password,1500,200,1500,18,1,0,4020,2025-08-30T17:00:00Z,-58.00,Utilities,655,650,645,640,642,638,635,630
david_chen,password,12000,3000,50000,240,0,0,5001,2025-08-01T09:00:00Z,12000.00,Income,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5002,2025-08-01T10:00:00Z,-2500.00,Mortgage,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5003,2025-08-02T12:00:00Z,-500.00,Auto Loan,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5004,2025-08-05T18:00:00Z,-150.00,Dining,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5005,2025-08-08T11:00:00Z,-300.00,Groceries,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5006,2025-08-10T08:00:00Z,-80.00,Transport,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5007,2025-08-12T14:00:00Z,-200.00,Utilities,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5008,2025-08-15T20:00:00Z,-120.00,Entertainment,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5009,2025-08-18T16:00:00Z,-180.00,Shopping,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5010,2025-08-20T17:00:00Z,-1000.00,Investment,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5011,2025-08-22T13:00:00Z,-250.50,Groceries,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5012,2025-08-25T08:30:00Z,-80.00,Transport,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5013,2025-08-28T19:00:00Z,-200.00,Dining,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5014,2025-08-30T18:00:00Z,-400.00,Travel,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5015,2025-09-01T09:00:00Z,12000.00,Income,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5016,2025-09-01T10:00:00Z,-2500.00,Mortgage,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5017,2025-09-02T12:00:00Z,-500.00,Auto Loan,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5018,2025-09-05T11:00:00Z,-320.00,Groceries,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5019,2025-09-08T17:00:00Z,-210.00,Utilities,820,818,815,816,810,808,805,800
david_chen,password,12000,3000,50000,240,0,0,5020,2025-09-10T20:00:00Z,-150.00,Entertainment,820,818,815,816,810,808,805,800
sophia_g,password,6200,2000,15000,60,1,0,6001,2025-08-01T09:00:00Z,3100.00,Income,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6002,2025-08-01T10:00:00Z,-1400.00,Rent,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6003,2025-08-03T12:00:00Z,-350.00,Student Loan,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6004,2025-08-05T18:00:00Z,-90.00,Dining,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6005,2025-08-08T11:00:00Z,-150.00,Groceries,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6006,2025-08-10T08:00:00Z,-50.00,Transport,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6007,2025-08-12T14:00:00Z,-130.00,Utilities,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6008,2025-08-15T09:00:00Z,3100.00,Income,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6009,2025-08-15T20:00:00Z,-70.00,Entertainment,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6010,2025-08-18T16:00:00Z,-120.00,Shopping,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6011,2025-08-20T17:00:00Z,-250.00,Credit Card Payment,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6012,2025-08-22T13:00:00Z,-140.50,Groceries,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6013,2025-08-25T08:30:00Z,-50.00,Transport,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6014,2025-08-28T19:00:00Z,-80.00,Dining,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6015,2025-08-30T18:00:00Z,-300.00,Travel,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6016,2025-09-01T09:00:00Z,3100.00,Income,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6017,2025-09-01T10:00:00Z,-1400.00,Rent,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6018,2025-09-03T12:00:00Z,-350.00,Student Loan,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6019,2025-09-05T11:00:00Z,-160.00,Groceries,740,738,735,730,728,725,720,715
sophia_g,password,6200,2000,15000,60,1,0,6020,2025-09-08T17:00:00Z,-135.00,Utilities,740,738,735,730,728,725,720,715
jacob_w,password,4200,3000,9000,40,5,8,7001,2025-08-01T09:00:00Z,2100.00,Income,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7002,2025-08-01T10:00:00Z,-1100.00,Rent,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7003,2025-08-02T12:00:00Z,-400.00,Car Loan,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7004,2025-08-05T18:00:00Z,-150.00,Credit Card Payment,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7005,2025-08-08T11:00:00Z,-120.00,Groceries,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7006,2025-08-10T08:00:00Z,-70.00,Transport,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7007,2025-08-12T14:00:00Z,-110.00,Utilities,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7008,2025-08-15T09:00:00Z,2100.00,Income,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7009,2025-08-15T20:00:00Z,-60.00,Entertainment,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7010,2025-08-18T16:00:00Z,-90.00,Shopping,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7011,2025-08-20T17:00:00Z,-250.00,Personal Loan,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7012,2025-08-22T13:00:00Z,-130.50,Groceries,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7013,2025-08-25T08:30:00Z,-70.00,Transport,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7014,2025-08-28T19:00:00Z,-50.00,Dining,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7015,2025-08-30T18:00:00Z,-150.00,Credit Card Payment,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7016,2025-09-01T09:00:00Z,2100.00,Income,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7017,2025-09-01T10:00:00Z,-1100.00,Rent,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7018,2025-09-02T12:00:00Z,-400.00,Car Loan,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7019,2025-09-05T11:00:00Z,-140.00,Groceries,560,565,570,580,585,590,600,605
jacob_w,password,4200,3000,9000,40,5,8,7020,2025-09-08T17:00:00Z,-115.00,Utilities,560,565,570,580,585,590,600,605
olivia_m,password,1800,300,2000,24,0,0,8001,2025-08-05T09:00:00Z,900.00,Income,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8002,2025-08-06T12:00:00Z,-75.00,Credit Card Payment,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8003,2025-08-08T18:00:00Z,-50.00,Dining,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8004,2025-08-10T11:00:00Z,-80.00,Groceries,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8005,2025-08-12T08:00:00Z,-35.00,Transport,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8006,2025-08-14T14:00:00Z,-100.00,Books,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8007,2025-08-16T20:00:00Z,-45.00,Entertainment,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8008,2025-08-18T16:00:00Z,-70.00,Shopping,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8009,2025-08-20T09:00:00Z,900.00,Income,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8010,2025-08-22T17:00:00Z,-60.00,Utilities,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8011,2025-08-24T13:00:00Z,-75.50,Groceries,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8012,2025-08-26T08:30:00Z,-35.00,Transport,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8013,2025-08-28T19:00:00Z,-40.00,Dining,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8014,2025-08-30T18:00:00Z,-75.00,Credit Card Payment,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8015,2025-09-01T14:00:00Z,-120.00,Books,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8016,2025-09-03T21:00:00Z,-50.00,Entertainment,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8017,2025-09-05T09:00:00Z,900.00,Income,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8018,2025-09-07T11:00:00Z,-85.00,Groceries,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8019,2025-09-09T17:00:00Z,-65.00,Utilities,670,665,660,655,650,648,645,640
olivia_m,password,1800,300,2000,24,0,0,8020,2025-09-11T16:00:00Z,-80.00,Shopping,670,665,660,655,650,648,645,640
mason_t,password,4000,1500,10000,72,1,2,9001,2025-08-01T09:00:00Z,1500.00,Income,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9002,2025-08-02T10:00:00Z,-1000.00,Rent,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9003,2025-08-04T12:00:00Z,-250.00,Auto Loan,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9004,2025-08-06T18:00:00Z,-70.00,Dining,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9005,2025-08-09T11:00:00Z,-110.00,Groceries,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9006,2025-08-11T08:00:00Z,-60.00,Transport,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9007,2025-08-13T14:00:00Z,-100.00,Utilities,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9008,2025-08-15T09:00:00Z,2500.00,Income,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9009,2025-08-17T20:00:00Z,-50.00,Entertainment,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9010,2025-08-20T16:00:00Z,-100.00,Shopping,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9011,2025-08-22T17:00:00Z,-250.00,Credit Card Payment,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9012,2025-08-24T13:00:00Z,-120.50,Groceries,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9013,2025-08-26T08:30:00Z,-60.00,Transport,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9014,2025-08-29T19:00:00Z,-60.00,Dining,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9015,2025-09-01T09:00:00Z,1500.00,Income,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9016,2025-09-02T10:00:00Z,-1000.00,Rent,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9017,2025-09-04T12:00:00Z,-250.00,Auto Loan,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9018,2025-09-07T11:00:00Z,-130.00,Groceries,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9019,2025-09-10T17:00:00Z,-105.00,Utilities,680,682,685,683,690,688,695,692
mason_t,password,4000,1500,10000,72,1,2,9020,2025-09-12T20:00:00Z,-40.00,Entertainment,680,682,685,683,690,688,695,692
isabella_k,password,4800,2200,11000,84,0,1,10001,2025-08-01T09:00:00Z,2400.00,Income,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10002,2025-08-01T10:00:00Z,-1300.00,Rent,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10003,2025-08-03T12:00:00Z,-300.00,Student Loan,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10004,2025-08-05T18:00:00Z,-60.00,Dining,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10005,2025-08-08T11:00:00Z,-100.00,Groceries,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10006,2025-08-10T08:00:00Z,-55.00,Transport,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10007,2025-08-12T14:00:00Z,-110.00,Utilities,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10008,2025-08-15T09:00:00Z,2400.00,Income,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10009,2025-08-15T20:00:00Z,-40.00,Entertainment,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10010,2025-08-18T16:00:00Z,-80.00,Shopping,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10011,2025-08-20T17:00:00Z,-300.00,Credit Card Payment,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10012,2025-08-22T13:00:00Z,-110.50,Groceries,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10013,2025-08-25T08:30:00Z,-55.00,Transport,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10014,2025-08-28T19:00:00Z,-50.00,Dining,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10015,2025-08-30T18:00:00Z,-200.00,Travel,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10016,2025-09-01T09:00:00Z,2400.00,Income,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10017,2025-09-01T10:00:00Z,-1300.00,Rent,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10018,2025-09-03T12:00:00Z,-300.00,Student Loan,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10019,2025-09-05T11:00:00Z,-120.00,Groceries,690,685,680,675,670,665,660,655
isabella_k,password,4800,2200,11000,84,0,1,10020,2025-09-08T17:00:00Z,-115.00,Utilities,690,685,680,675,670,665,660,655
ethan_h,password,7000,2500,20000,96,0,0,11001,2025-08-01T09:00:00Z,3500.00,Income,760,755,750,745,740,735,730,725
ethan_h,password,7000,2500,20000,96,0,0,11002,2025-08-01T10:00:00Z,-1600.00,Rent,760,755,750,745,740,735,730,725
ethan_h,password,7000,2500,20000,96,0,0,11003,2025-08-03T12:00:00Z,-400.00,Auto Loan,760,755,750,745,740,735,730,725
ethan_h,password,7000,2500,20000,96,0,0,11004,2025-08-05T18:00:00Z,-100.00,Dining,760,755,750,745,740,735,730,725
ethan_h,password,7000,2500,20000,96,0,0,11005,2025-08-08T11:00:00Z,-200.00,Groceries,760,755,750,745,740,735,730,725
ethan_h,password,7000,2500,20000,96,0,0,11006,2025-08-10T08:00:00Z,-60.00,Transport,760,755,750,745,740,735,730,725
